,,,,,
Annee,Manuf ind and constr,Indutries,Other,Other sectors,Transport
1990,836128.333127961,1675653.11437458,23748.5195340693,826915.058104155,793200.420539293
1991,796275.827068428,1641506.13220126,19769.7239427141,877294.578036892,800395.184771747
1992,759219.728493595,1582738.5703709,17135.4448521131,820292.131307544,823907.980040664
1993,731926.984374174,1515716.18262318,15027.9689680696,837322.267653502,828344.821913143
1994,730374.067173372,1522473.67166281,14692.3209674619,789117.316610734,834888.515328766
1995,747742.918037582,1524080.21620028,14010.5583319147,792733.42015916,847269.768780219
1996,739717.038040842,1553377.17257921,12484.1013122323,859754.179958807,873615.610870381
1997,731056.481460609,1508660.27890855,12580.0382485611,808743.4119631,884851.742211063
1998,695760.910738611,1525467.3548881,11792.534032545,794126.495492535,914063.628127191
1999,678667.949623598,1480254.43491265,10615.6566745153,782110.841161178,932100.548824121
2000,685009.952916954,1511185.10836134,9874.8248869861,757316.818338844,926942.349078299
2001,667262.60542073,1553478.03571617,9090.18228145819,804233.468875605,939986.339707546
2002,647596.281516277,1570508.13695984,9101.03927877708,771920.048213566,951333.260582503
2003,652965.293603146,1620728.65331449,9746.14087468151,787105.853017545,960254.835351795
2004,644965.874572511,1609232.94168364,10780.5249289537,784863.399104402,979644.398654927
2005,638558.467506029,1599158.64553886,11266.27599899,781230.111215934,978838.459743827
2006,628769.387574482,1610161.13085689,10751.0474022691,774350.095070678,985974.61945788
2007,632173.698589563,1619706.40121906,11064.9897368502,696708.40570594,995393.150280913
2008,603818.605514969,1548054.59680493,10160.3541316822,745307.231997826,970708.028025182
2009,501002.693544165,1424238.49818879,8995.5883514058,727835.14303113,943225.698456113
2010,532956.539934484,1450938.98108401,8670.57952700775,771699.211402607,937607.438208578
2011,517999.27578502,1425220.51169421,8453.00892489491,678047.883032304,925532.842935837
2012,496999.865872044,1417949.50875582,7512.14648216022,693567.488226523,895985.359052355
2013,488428.699249817,1342336.22733984,7290.04446473696,698059.989436223,888747.145284547
2014,481139.929088529,1258245.20577031,6976.08555066208,605909.291334407,896142.032012116
2015,483524.983539953,1245166.47779294,6753.2179505124,636003.576027126,913263.603076296
2016,484045.660652172,1197913.85998849,6663.69547719842,647963.569799632,932470.152977743
2017,499836.465049668,1179303.95650133,6764.86040586389,649812.308754405,945871.55010085
